Buyer_Country,Inquiry_Text,Category
Pakistan,"We are an importer of agricultural commodities and need 250 MT of turmeric from India. Please confirm crop year, moisture content and send COA. CIF Felixstowe pricing needed.",Agriculture
United Kingdom,We distribute towels in our local market and need a reliable Indian exporter. Quality control is very important for us. Please send samples first before we discuss bulk order of 5000 pcs.,Textiles
France,"Hello, our company buys wheat flour for food processing industry. Annual volume around 1000 tons. Need grade A quality with proper phytosanitary certificate. Are you direct farmer or aggregator?",Agriculture
Jordan,"We want to buy linen scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 50 pcs initial order.",Textiles
Israel,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need mustard seeds in consumer packs of 50g and 100g with our private label. Minimum 200 units per SKU.",Spices
Hong Kong,"Hi, I need radiators for Suzuki vehicles — we have a large fleet service company. Current supplier has quality issues so looking to switch. Can you send samples before bulk purchase of 1500 units?",Auto Parts
Switzerland,We want to launch Indian handicraft category in our marketplace. Need stone carvings in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Sri Lanka,"Hello, I am purchasing manager at retail company in Toronto. We require tablecloths made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
United Kingdom,"Hi, I am purchasing for a restaurant chain. We need authentic Indian cumin seeds — not the diluted quality. Please share origin details and moisture content specs. Trial order 250 kgs.",Spices
United States,"Hi, we are a garment wholesaler based in Seoul and looking to source 1000 meters of jute fabric. Need export quality with GOTS certification if possible. Pls share price list and MOQ details.",Textiles
Poland,"Hello, I am purchasing manager at e-commerce company in Cape Town. We require towels made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
Malaysia,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need star anise in consumer packs of 50g and 100g with our private label. Minimum 100 units per SKU.",Spices
Vietnam,"Hi, I need LED lights for Tata vehicles — we have a large fleet service company. Current supplier has quality issues so looking to switch. Can you send samples before bulk purchase of 3000 units?",Auto Parts
Singapore,"Dear sir/madam, our company imports cotton dress material in bulk for retail distribution. We need 10000 pieces per shipment, natural colors preferred. Can you send catalogue and best FOB price?",Textiles
New Zealand,"Hello, we are auto parts distributor and need clutch plates compatible with Toyota models. Please share part numbers and send technical specifications. Need 50 units for first order.",Auto Parts
Switzerland,"We supply home decor to wholesale stores across our country. Interested in terracotta pottery from Rajasthan or Gujarat region. Need 5000 pieces assorted, good packing for export.",Handicrafts
Oman,We import auto spare parts for African market. Looking for suspension parts from Indian manufacturers. Price competitiveness is key. Please send your product range and FOB prices.,Auto Parts
South Korea,We want to launch Indian handicraft category in our marketplace. Need terracotta pottery in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
UAE,"Dear sir, our workshop chain requires timing belts in bulk. Quality must meet OEM standards. Can you supply with proper certification? Monthly requirement approx 500 pieces.",Auto Parts
United States,"Hello, I am purchasing manager at specialty company in Cape Town. We require bed sheets made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
Israel,Our retail brand is launching an Indian origin groundnuts product line. We need traceable sourcing with farm details if possible. Small first order of 500 kgs to test quality.,Agriculture
Sweden,Urgent requirement for modal fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 3000 meters. Share TNA and payment terms.,Textiles
Egypt,I am a buyer for a European e-commerce retailer. We want to source Fair Trade certified stone carvings. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Colombia,We import auto spare parts for African market. Looking for radiators from Indian manufacturers. Price competitiveness is key. Please send your product range and FOB prices.,Auto Parts
Brazil,"We are an importer of agricultural commodities and need 250 MT of wheat flour from India. Please confirm crop year, moisture content and send COA. CIF Los Angeles pricing needed.",Agriculture
France,"Hello, I run an interior decor shop and looking for Indian handicraft items — specifically wooden furniture. Need unique designs, not the generic stuff. Can you share your latest catalogue with wholesale prices?",Handicrafts
Philippines,We import auto spare parts for African market. Looking for brake pads from Indian manufacturers. Price competitiveness is key. Please send your product range and FOB prices.,Auto Parts
Qatar,"We want to buy silk scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 250 pcs initial order.",Textiles
UAE,Our retail brand is launching an Indian origin dried ginger product line. We need traceable sourcing with farm details if possible. Small first order of 1000 kgs to test quality.,Agriculture
South Africa,"Hello, we import spices for food industry. Need 250 kgs of red chilli powder — should be steam sterilized and free from salmonella. Please send COA and FSSAI/APEDA registration copy.",Spices
New Zealand,"Looking to switch our cumin seeds supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 200 MT.",Spices
Colombia,Our gift company imports handicrafts from various countries. Indian block printed textiles is in demand here. Please share price list for 200 pcs MOQ. We need consistent supply every quarter.,Handicrafts
Netherlands,We want to launch Indian handicraft category in our marketplace. Need dhokra art pieces in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Pakistan,"Hi, we are a garment wholesaler based in London and looking to source 250 meters of organic cotton fabric. Need export quality with ISO certification if possible. Pls share price list and MOQ details.",Textiles
UAE,"Hi, I am purchasing for a restaurant chain. We need authentic Indian cardamom — not the diluted quality. Please share origin details and moisture content specs. Trial order 1500 kgs.",Spices
Netherlands,"We supply home decor to departmental stores across our country. Interested in embroidered cushion covers from Rajasthan or Gujarat region. Need 5000 pieces assorted, good packing for export.",Handicrafts
Japan,Our company distributes aftermarket spare parts. We need fuel pumps with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
Argentina,"Hello, we import spices for food industry. Need 50 kgs of mustard seeds — should be steam sterilized and free from salmonella. Please send COA and FSSAI/APEDA registration copy.",Spices
Mexico,"We want to buy modal scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 1000 pcs initial order.",Textiles
Australia,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need cardamom in consumer packs of 50g and 100g with our private label. Minimum 200 units per SKU.",Spices
Hong Kong,"Hi, I am looking for Indian chilli peppers for export to Hong Kong. Our buyer needs consistent supply throughout the year. What is your capacity per month and what is your price for 5000 tons?",Agriculture
Chile,We want to launch Indian handicraft category in our marketplace. Need embroidered cushion covers in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
France,Urgent requirement for modal fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 500 meters. Share TNA and payment terms.,Textiles
United States,"Dear exporter, I am looking for authentic Indian embroidered cushion covers for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Japan,We are a wholesale auto parts importer. Need brake pads urgently for a contract we have won. Can you do 1500 units in 4 weeks? Please quote best price with DDP terms.,Auto Parts
Canada,"We want to buy khadi scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 500 pcs initial order.",Textiles
Belgium,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need coriander powder in consumer packs of 50g and 100g with our private label. Minimum 300 units per SKU.",Spices
Germany,Looking for Indian handicraft exporter for wooden furniture. We have seen many products at trade fair but could not find right partner. Our requirement is 3000 units for initial trial order.,Handicrafts
Spain,"Dear team, we have urgent requirement for 50 MT of non-basmati rice. Our previous supplier failed to deliver on time so looking for new reliable partner. Can you ship within 3 weeks?",Agriculture
Spain,Our food manufacturing unit requires coriander powder as raw material. We do own lab testing. Need ASTA grade with full traceability documentation. Can you supply 250 kgs per month?,Spices
South Africa,Looking to import onion — we supply to supermarket chains here. Packaging should be 25 kg bags and labeled as per South Africa import regulations. Pl confirm if you can arrange.,Agriculture
South Korea,I am a buyer for a European e-commerce retailer. We want to source Fair Trade certified terracotta pottery. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Kenya,"Hello, our company buys basmati rice for food processing industry. Annual volume around 300 tons. Need grade A quality with proper phytosanitary certificate. Are you direct farmer or aggregator?",Agriculture
Israel,"Dear team, we have urgent requirement for 800 MT of turmeric. Our previous supplier failed to deliver on time so looking for new reliable partner. Can you ship within 3 weeks?",Agriculture
Mexico,"Dear team, we have urgent requirement for 500 MT of chilli peppers. Our previous supplier failed to deliver on time so looking for new reliable partner. Can you ship within 3 weeks?",Agriculture
Singapore,"Looking for reliable Indian supplier for clutch plates. We order quarterly, about 200 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
Nepal,Looking for Indian handicraft exporter for stone carvings. We have seen many products at trade fair but could not find right partner. Our requirement is 50 units for initial trial order.,Handicrafts
Switzerland,"Looking to switch our red chilli powder supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 500 MT.",Spices
Nigeria,We need basmati rice for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
Australia,Our food manufacturing unit requires black pepper as raw material. We do own lab testing. Need ASTA grade with full traceability documentation. Can you supply 10000 kgs per month?,Spices
Bangladesh,We are a spice blending company and require star anise in ground form. Consistent color and aroma is very important for our product. MOQ 300 kgs. Can you share samples first?,Spices
Singapore,"Hello, I run an interior decor shop and looking for Indian handicraft items — specifically block printed textiles. Need unique designs, not the generic stuff. Can you share your latest catalogue with wholesale prices?",Handicrafts
United States,"Hi, I am purchasing for a restaurant chain. We need authentic Indian garam masala — not the diluted quality. Please share origin details and moisture content specs. Trial order 10000 kgs.",Spices
UAE,Looking for Indian handicraft exporter for brass figurines. We have seen many products at trade fair but could not find right partner. Our requirement is 50 units for initial trial order.,Handicrafts
Tanzania,"Hi there, we need block printed textiles for a hotel chain project. Around 50 pieces needed, delivery in 8 weeks. Please confirm lead time and whether customization of design/color is possible.",Handicrafts
Turkey,Our company distributes aftermarket spare parts. We need timing belts with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
Netherlands,Our retail brand is launching an Indian origin onion product line. We need traceable sourcing with farm details if possible. Small first order of 50 kgs to test quality.,Agriculture
Peru,We need onion for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
Thailand,Looking for supplier of modal tablecloths — we have been buying from China but want to shift to India. Can you match competitive pricing? Our annual requirement is around 300 units.,Textiles
Philippines,"Looking to switch our fenugreek seeds supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 800 MT.",Spices
Sri Lanka,We are a trading company handling wheat flour imports. Need competitive price for 3000 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Japan,Looking for supplier of khadi denim fabric — we have been buying from China but want to shift to India. Can you match competitive pricing? Our annual requirement is around 10000 units.,Textiles
Saudi Arabia,We need sesame seeds for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
Singapore,"We are an importer of agricultural commodities and need 500 MT of sesame seeds from India. Please confirm crop year, moisture content and send COA. CIF Felixstowe pricing needed.",Agriculture
Taiwan,I represent a chain of boutique stores. We are interested in ethnic Indian dress material for our festive season collection. Need 50 assorted pieces with good packaging.,Textiles
Singapore,"Dear manufacturer, our customer needs radiators that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 300 units per month.",Auto Parts
Italy,"Dear sir/madam, our company imports cotton dress material in bulk for retail distribution. We need 5000 pieces per shipment, printed colors preferred. Can you send catalogue and best FOB price?",Textiles
Morocco,"Hello sir, we are new importer trying to establish spice import business. Can you guide us on process and also quote for mustard seeds — starting small with 500 kgs to understand market.",Spices
South Africa,I represent a chain of specialty stores. We are interested in ethnic Indian bed sheets for our festive season collection. Need 3000 assorted pieces with good packaging.,Textiles
Colombia,"Looking to switch our fenugreek seeds supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 3000 MT.",Spices
Taiwan,Our food manufacturing unit requires fenugreek seeds as raw material. We do own lab testing. Need ASTA grade with full traceability documentation. Can you supply 1500 kgs per month?,Spices
Japan,"Dear manufacturer, our customer needs radiators that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 200 units per month.",Auto Parts
Chile,We want to launch Indian handicraft category in our marketplace. Need terracotta pottery in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Kenya,"Dear sir, our workshop chain requires alternators in bulk. Quality must meet OEM standards. Can you supply with proper certification? Monthly requirement approx 100 pieces.",Auto Parts
South Africa,Looking for Indian handicraft exporter for stone carvings. We have seen many products at trade fair but could not find right partner. Our requirement is 10000 units for initial trial order.,Handicrafts
Saudi Arabia,Looking to import sesame seeds — we supply to supermarket chains here. Packaging should be bulk containers and labeled as per Saudi Arabia import regulations. Pl confirm if you can arrange.,Agriculture
Morocco,"Dear team, we have urgent requirement for 1000 MT of onion. Our previous supplier failed to deliver on time so looking for new reliable partner. Can you ship within 3 weeks?",Agriculture
New Zealand,We want to launch Indian handicraft category in our marketplace. Need block printed textiles in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
France,Our retail brand is launching an Indian origin dried ginger product line. We need traceable sourcing with farm details if possible. Small first order of 300 kgs to test quality.,Agriculture
Morocco,Urgent requirement for organic cotton fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 500 meters. Share TNA and payment terms.,Textiles
Spain,I am a buyer for a European specialty retailer. We want to source Fair Trade certified stone carvings. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Ghana,"Hi, I am purchasing for a restaurant chain. We need authentic Indian cumin seeds — not the diluted quality. Please share origin details and moisture content specs. Trial order 800 kgs.",Spices
Kenya,"Dear manufacturer, our customer needs suspension parts that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 500 units per month.",Auto Parts
Poland,We import auto spare parts for African market. Looking for LED lights from Indian manufacturers. Price competitiveness is key. Please send your product range and FOB prices.,Auto Parts
Netherlands,"Hello, we import spices for food industry. Need 300 kgs of star anise — should be steam sterilized and free from salmonella. Please send COA and FSSAI/APEDA registration copy.",Spices
Vietnam,"Dear sir/madam, our company imports cotton dress material in bulk for retail distribution. We need 2000 pieces per shipment, natural colors preferred. Can you send catalogue and best FOB price?",Textiles
South Korea,Looking for supplier of polyester blended sarees — we have been buying from China but want to shift to India. Can you match competitive pricing? Our annual requirement is around 5000 units.,Textiles
Egypt,Looking for Indian handicraft exporter for block printed textiles. We have seen many products at trade fair but could not find right partner. Our requirement is 3000 units for initial trial order.,Handicrafts
Kenya,Our company distributes aftermarket spare parts. We need clutch plates with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
Israel,"Hi, we are a garment wholesaler based in Tokyo and looking to source 5000 meters of bamboo fabric. Need export quality with GOTS certification if possible. Pls share price list and MOQ details.",Textiles
Argentina,"Hi, we are a garment wholesaler based in Nairobi and looking to source 5000 meters of jute fabric. Need export quality with GOTS certification if possible. Pls share price list and MOQ details.",Textiles
Italy,Looking to import mango pulp — we supply to supermarket chains here. Packaging should be 25 kg bags and labeled as per Italy import regulations. Pl confirm if you can arrange.,Agriculture
Vietnam,We are a trading company handling cumin seeds imports. Need competitive price for 100 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Nepal,"Dear exporter, I am looking for authentic Indian hand-painted ceramics for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Hong Kong,"We want to buy modal scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 1000 pcs initial order.",Textiles
Philippines,Looking for supplier of polyester blended dress material — we have been buying from China but want to shift to India. Can you match competitive pricing? Our annual requirement is around 100 units.,Textiles
Singapore,"Hello, I am purchasing manager at e-commerce company in Tokyo. We require kurtas made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
Mexico,We are a spice blending company and require star anise in ground form. Consistent color and aroma is very important for our product. MOQ 3000 kgs. Can you share samples first?,Spices
Germany,I am a buyer for a European e-commerce retailer. We want to source Fair Trade certified dhokra art pieces. Is your company fair trade certified? Also need details on packaging.,Handicrafts
UAE,"Looking to switch our garam masala supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 500 MT.",Spices
Jordan,Urgent requirement for bamboo fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 50 meters. Share TNA and payment terms.,Textiles
Egypt,Our retail brand is launching an Indian origin wheat flour product line. We need traceable sourcing with farm details if possible. Small first order of 2000 kgs to test quality.,Agriculture
Kuwait,We want to launch Indian handicraft category in our marketplace. Need papier mache items in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Bangladesh,We distribute spices to ethnic grocery stores. Looking for cumin seeds supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 10000 kgs CIF.,Spices
Saudi Arabia,We want to launch Indian handicraft category in our marketplace. Need terracotta pottery in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Pakistan,We are a wholesale auto parts importer. Need brake pads urgently for a contract we have won. Can you do 10000 units in 4 weeks? Please quote best price with DDP terms.,Auto Parts
Jordan,"Dear exporter, I am looking for authentic Indian papier mache items for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Malaysia,"Hi there, we need embroidered cushion covers for a hotel chain project. Around 10000 pieces needed, delivery in 8 weeks. Please confirm lead time and whether customization of design/color is possible.",Handicrafts
Hong Kong,"Hello, I run an interior decor shop and looking for Indian handicraft items — specifically stone carvings. Need unique designs, not the generic stuff. Can you share your latest catalogue with wholesale prices?",Handicrafts
Singapore,"Hello, I am purchasing manager at specialty company in Lagos. We require dress material made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
Pakistan,We are a trading company handling wheat flour imports. Need competitive price for 50 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Jordan,"Hello, we are auto parts distributor and need alternators compatible with Honda models. Please share part numbers and send technical specifications. Need 1000 units for first order.",Auto Parts
Switzerland,We need chilli peppers for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
Philippines,We want to launch Indian handicraft category in our marketplace. Need stone carvings in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Kuwait,I am a buyer for a European e-commerce retailer. We want to source Fair Trade certified stone carvings. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Poland,We want to launch Indian handicraft category in our marketplace. Need embroidered cushion covers in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Mexico,Our gift company imports handicrafts from various countries. Indian terracotta pottery is in demand here. Please share price list for 1000 pcs MOQ. We need consistent supply every quarter.,Handicrafts
Turkey,"We want to buy jute scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 5000 pcs initial order.",Textiles
Ghana,Our company distributes aftermarket spare parts. We need fuel pumps with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
Pakistan,We distribute spices to ethnic grocery stores. Looking for cumin seeds supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 1000 kgs CIF.,Spices
Brazil,"Hi, I am looking for Indian cumin seeds for export to Brazil. Our buyer needs consistent supply throughout the year. What is your capacity per month and what is your price for 2000 tons?",Agriculture
United States,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need turmeric powder in consumer packs of 50g and 100g with our private label. Minimum 200 units per SKU.",Spices
France,We distribute spices to ethnic grocery stores. Looking for coriander powder supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 100 kgs CIF.,Spices
Chile,"Dear sir, our workshop chain requires fuel pumps in bulk. Quality must meet OEM standards. Can you supply with proper certification? Monthly requirement approx 500 pieces.",Auto Parts
Brazil,"Dear manufacturer, our customer needs filters that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 800 units per month.",Auto Parts
South Korea,Looking for supplier of organic cotton kurtas — we have been buying from China but want to shift to India. Can you match competitive pricing? Our annual requirement is around 1000 units.,Textiles
Switzerland,"Dear sir, our workshop chain requires brake pads in bulk. Quality must meet OEM standards. Can you supply with proper certification? Monthly requirement approx 250 pieces.",Auto Parts
Italy,We need non-basmati rice for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
South Africa,Urgent requirement for jute fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 3000 meters. Share TNA and payment terms.,Textiles
Kuwait,"Dear manufacturer, our customer needs alternators that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 800 units per month.",Auto Parts
Philippines,Our company distributes aftermarket spare parts. We need fuel pumps with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
Taiwan,"Dear sir/madam, our company imports cotton tablecloths in bulk for retail distribution. We need 50 pieces per shipment, printed colors preferred. Can you send catalogue and best FOB price?",Textiles
Nigeria,"We want to buy jute scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 2000 pcs initial order.",Textiles
Thailand,"We want to buy cotton scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 300 pcs initial order.",Textiles
Sri Lanka,"Hello sir, we are new importer trying to establish spice import business. Can you guide us on process and also quote for turmeric powder — starting small with 200 kgs to understand market.",Spices
Indonesia,"Hi there, we need papier mache items for a hotel chain project. Around 100 pieces needed, delivery in 8 weeks. Please confirm lead time and whether customization of design/color is possible.",Handicrafts
UAE,We need chilli peppers for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
Philippines,Our retail brand is launching an Indian origin cashew kernels product line. We need traceable sourcing with farm details if possible. Small first order of 1000 kgs to test quality.,Agriculture
Indonesia,We need groundnuts for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
UAE,"We want to buy modal scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 250 pcs initial order.",Textiles
Ghana,We distribute spices to ethnic grocery stores. Looking for red chilli powder supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 800 kgs CIF.,Spices
Egypt,I am a buyer for a European departmental retailer. We want to source Fair Trade certified stone carvings. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Oman,"Dear manufacturer, our customer needs fuel pumps that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 1000 units per month.",Auto Parts
Germany,"Looking for reliable Indian supplier for alternators. We order quarterly, about 250 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
United Kingdom,"Hello, I am purchasing manager at boutique company in Los Angeles. We require denim fabric made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
